State,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,White and Black or African American,White and American Indian and Alaska Native,White and Asian,Black or African American and American Indian and Alaska Native,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,"Citizen, 18 and over population",Male,Female
AL,"4,876,250",48.4%,51.6%,6.0%,6.2%,6.4%,6.6%,6.7%,13.1%,12.2%,13.0%,6.8%,6.5%,9.8%,5.0%,1.7%,22.5%,80.1%,77.5%,73.4%,20.3%,16.5%,98.1%,1.9%,98.1%,68.1%,26.6%,0.5%,1.4%,0.0%,1.4%,1.9%,0.6%,0.6%,0.3%,0.1%,"4,876,250",69.8%,27.5%,1.3%,1.8%,0.1%,1.6%,"3,685,074",47.5%,52.5%
AK,"737,068",52.2%,47.8%,7.2%,7.2%,6.7%,6.3%,7.4%,16.2%,12.7%,12.3%,6.8%,6.0%,7.6%,2.7%,0.9%,25.0%,77.6%,75.0%,71.2%,14.6%,11.2%,91.8%,8.2%,91.8%,64.6%,3.3%,14.9%,6.2%,1.2%,1.5%,8.2%,0.9%,4.1%,1.2%,0.2%,"737,068",72.0%,4.9%,20.0%,8.3%,2.0%,2.0%,"530,996",52.8%,47.2%
AZ,"7,050,299",49.7%,50.3%,6.2%,6.4%,6.7%,6.7%,6.9%,13.7%,12.3%,12.0%,6.1%,5.9%,9.9%,5.3%,1.9%,23.2%,79.4%,76.8%,72.6%,20.6%,17.1%,96.3%,3.7%,96.3%,77.2%,4.5%,4.5%,3.3%,0.2%,6.5%,3.7%,0.8%,0.8%,0.7%,0.1%,"7,050,299",80.4%,5.7%,5.7%,4.4%,0.5%,7.3%,"4,920,449",49.2%,50.8%
AR,"2,999,370",49.1%,50.9%,6.3%,6.6%,6.6%,6.7%,6.7%,13.1%,12.3%,12.4%,6.5%,6.2%,9.7%,5.1%,1.9%,23.5%,79.2%,76.5%,72.3%,20.3%,16.6%,97.3%,2.7%,97.3%,76.7%,15.3%,0.7%,1.5%,0.3%,2.8%,2.7%,0.7%,1.1%,0.3%,0.1%,"2,999,370",79.2%,16.3%,2.0%,1.9%,0.4%,3.1%,"2,207,333",48.2%,51.8%
CA,"39,283,497",49.7%,50.3%,6.2%,6.3%,6.6%,6.5%,7.0%,15.2%,13.3%,13.0%,6.3%,5.7%,8.1%,4.1%,1.8%,23.0%,79.6%,77.0%,73.0%,17.2%,14.0%,95.1%,4.9%,95.1%,59.7%,5.8%,0.8%,14.5%,0.4%,14.0%,4.9%,0.7%,0.7%,1.5%,0.1%,"39,283,497",63.8%,7.0%,1.9%,16.7%,0.8%,15.1%,"25,494,383",49.1%,50.9%
CO,"5,610,349",50.3%,49.7%,6.0%,6.3%,6.4%,6.4%,6.7%,15.5%,13.6%,12.7%,6.5%,6.0%,8.5%,3.8%,1.5%,22.5%,80.0%,77.5%,73.6%,17.3%,13.8%,96.3%,3.7%,96.3%,84.0%,4.2%,1.0%,3.2%,0.2%,3.9%,3.7%,0.8%,0.9%,0.8%,0.1%,"5,610,349",87.3%,5.3%,2.2%,4.3%,0.4%,4.5%,"4,063,877",49.9%,50.1%
CT,"3,575,074",48.8%,51.2%,5.1%,5.5%,6.2%,6.8%,6.8%,12.4%,11.9%,14.2%,7.4%,6.8%,9.4%,4.9%,2.5%,20.8%,81.8%,79.2%,74.9%,20.7%,16.8%,96.7%,3.3%,96.7%,75.9%,10.7%,0.3%,4.5%,0.0%,5.2%,3.3%,1.1%,0.4%,0.6%,0.1%,"3,575,074",78.6%,12.5%,1.0%,5.4%,0.2%,6.0%,"2,605,409",47.9%,52.1%
DE,"957,248",48.4%,51.6%,5.7%,5.6%,6.3%,6.3%,6.2%,13.3%,11.6%,13.0%,7.1%,6.8%,10.9%,5.4%,1.9%,21.3%,81.2%,78.7%,74.7%,22.3%,18.2%,97.2%,2.8%,97.2%,68.8%,22.2%,0.4%,3.9%,0.1%,1.9%,2.8%,1.3%,0.3%,0.4%,0.2%,"957,248",71.1%,24.0%,1.0%,4.5%,0.1%,2.3%,"710,280",47.5%,52.5%
DC,"692,683",47.4%,52.6%,6.5%,4.9%,4.2%,5.4%,7.6%,23.4%,14.8%,11.0%,5.3%,4.8%,7.0%,3.5%,1.6%,17.9%,83.6%,82.1%,77.3%,14.9%,12.1%,96.9%,3.1%,96.9%,41.3%,46.3%,0.3%,4.0%,0.1%,5.0%,3.1%,0.8%,0.1%,0.9%,0.3%,"692,683",43.6%,47.9%,0.9%,5.3%,0.2%,5.5%,"519,267",46.5%,53.5%
FL,"20,901,636",48.9%,51.1%,5.4%,5.4%,5.7%,5.8%,6.1%,13.0%,12.1%,13.1%,6.8%,6.4%,11.1%,6.4%,2.6%,20.0%,82.3%,80.0%,76.4%,23.9%,20.1%,97.3%,2.7%,97.3%,75.1%,16.1%,0.3%,2.7%,0.1%,3.0%,2.7%,1.0%,0.4%,0.5%,0.1%,"20,901,636",77.5%,17.5%,0.8%,3.5%,0.2%,3.5%,"14,988,415",48.1%,51.9%
GA,"10,403,847",48.7%,51.3%,6.3%,6.6%,7.0%,7.0%,6.9%,13.8%,13.2%,13.5%,6.4%,5.7%,8.3%,3.9%,1.3%,24.1%,78.7%,75.9%,71.6%,16.8%,13.5%,97.4%,2.6%,97.4%,58.6%,31.6%,0.4%,4.0%,0.1%,2.8%,2.6%,0.9%,0.3%,0.4%,0.1%,"10,403,847",60.7%,33.0%,1.0%,4.7%,0.2%,3.2%,"7,356,558",47.6%,52.4%
HI,"1,422,094",50.2%,49.8%,6.2%,6.0%,5.9%,5.5%,6.6%,14.4%,12.6%,12.2%,6.5%,6.3%,10.1%,5.0%,2.7%,21.4%,80.8%,78.6%,75.2%,21.6%,17.8%,76.1%,23.9%,76.1%,25.0%,1.8%,0.3%,37.8%,10.1%,1.2%,23.9%,0.5%,0.6%,5.2%,0.1%,"1,422,094",43.0%,3.6%,2.4%,56.4%,26.0%,2.6%,"1,018,390",50.7%,49.3%
ID,"1,717,750",50.1%,49.9%,6.7%,7.2%,7.4%,7.1%,6.7%,13.1%,12.5%,11.6%,6.2%,6.1%,9.3%,4.5%,1.6%,25.7%,77.3%,74.3%,70.2%,19.0%,15.4%,97.1%,2.9%,97.1%,90.0%,0.7%,1.3%,1.4%,0.2%,3.5%,2.9%,0.4%,0.9%,0.7%,0.0%,"1,717,750",92.7%,1.2%,2.5%,2.4%,0.4%,4.0%,"1,220,310",49.6%,50.4%
IL,"12,770,631",49.1%,50.9%,6.0%,6.2%,6.5%,6.6%,6.7%,13.9%,12.9%,13.1%,6.8%,6.2%,8.7%,4.5%,2.0%,22.6%,80.0%,77.4%,73.4%,18.8%,15.2%,97.4%,2.6%,97.4%,71.5%,14.2%,0.3%,5.5%,0.0%,5.9%,2.6%,0.8%,0.3%,0.6%,0.1%,"12,770,631",73.8%,15.3%,0.8%,6.3%,0.1%,6.5%,"9,049,960",48.3%,51.7%
IN,"6,665,703",49.3%,50.7%,6.3%,6.5%,6.7%,6.9%,7.1%,13.0%,12.3%,12.8%,6.7%,6.3%,9.0%,4.5%,1.9%,23.6%,79.1%,76.4%,72.1%,19.0%,15.4%,97.5%,2.5%,97.5%,83.3%,9.4%,0.2%,2.3%,0.0%,2.2%,2.5%,1.2%,0.4%,0.4%,0.0%,"6,665,703",85.6%,10.8%,0.8%,2.8%,0.1%,2.5%,"4,903,144",48.5%,51.5%
IA,"3,139,508",49.6%,50.4%,6.3%,6.5%,6.6%,6.8%,7.2%,12.6%,12.0%,12.1%,6.8%,6.5%,9.2%,5.0%,2.5%,23.2%,79.4%,76.8%,72.3%,20.5%,16.7%,97.9%,2.1%,97.9%,90.0%,3.7%,0.4%,2.4%,0.1%,1.2%,2.1%,0.9%,0.4%,0.4%,0.0%,"3,139,508",92.0%,4.8%,0.9%,2.9%,0.2%,1.4%,"2,321,084",49.0%,51.0%
KS,"2,910,652",49.8%,50.2%,6.6%,6.9%,6.9%,6.9%,7.4%,13.2%,12.1%,11.9%,6.6%,6.2%,8.7%,4.6%,2.1%,24.4%,78.3%,75.6%,71.2%,19.1%,15.4%,96.5%,3.5%,96.5%,84.4%,5.9%,0.8%,2.9%,0.1%,2.5%,3.5%,1.2%,1.0%,0.5%,0.1%,"2,910,652",87.6%,7.4%,2.1%,3.6%,0.2%,2.8%,"2,084,736",49.2%,50.8%
KY,"4,449,052",49.2%,50.8%,6.2%,6.2%,6.5%,6.5%,6.8%,13.0%,12.4%,13.1%,6.9%,6.4%,9.5%,4.7%,1.7%,22.7%,79.9%,77.3%,73.1%,19.7%,16.0%,97.7%,2.3%,97.7%,87.0%,8.1%,0.2%,1.5%,0.1%,1.0%,2.3%,1.1%,0.4%,0.3%,0.0%,"4,449,052",89.0%,9.4%,0.7%,1.9%,0.1%,1.2%,"3,349,115",48.5%,51.5%
LA,"4,664,362",48.9%,51.1%,6.6%,6.5%,6.6%,6.4%,6.8%,14.3%,12.5%,12.3%,6.6%,6.3%,8.9%,4.4%,1.6%,23.7%,79.0%,76.3%,72.3%,18.6%,15.0%,98.0%,2.0%,98.0%,62.0%,32.2%,0.6%,1.7%,0.0%,1.4%,2.0%,0.8%,0.5%,0.2%,0.1%,"4,664,362",63.8%,33.4%,1.3%,2.1%,0.1%,1.6%,"3,459,488",48.0%,52.0%
ME,"1,335,492",49.0%,51.0%,4.8%,5.2%,5.4%,5.9%,5.7%,11.8%,11.4%,13.9%,8.0%,7.7%,11.9%,5.6%,2.5%,18.9%,83.4%,81.1%,77.4%,24.6%,20.0%,97.8%,2.2%,97.8%,94.3%,1.4%,0.6%,1.1%,0.0%,0.3%,2.2%,0.5%,0.9%,0.5%,0.0%,"1,335,492",96.4%,2.0%,1.7%,1.7%,0.1%,0.4%,"1,064,670",48.4%,51.6%
MD,"6,018,848",48.5%,51.5%,6.1%,6.2%,6.3%,6.4%,6.4%,13.8%,12.8%,13.9%,7.0%,6.3%,8.8%,4.4%,1.8%,22.3%,80.2%,77.7%,73.8%,18.7%,15.0%,96.6%,3.4%,96.6%,55.5%,29.9%,0.3%,6.3%,0.1%,4.5%,3.4%,1.2%,0.3%,0.8%,0.2%,"6,018,848",58.3%,31.8%,1.0%,7.5%,0.2%,5.0%,"4,280,946",47.5%,52.5%
MA,"6,850,553",48.5%,51.5%,5.3%,5.3%,5.8%,6.7%,7.1%,14.2%,12.2%,13.7%,7.1%,6.5%,9.2%,4.6%,2.3%,20.0%,82.4%,80.0%,75.5%,19.9%,16.2%,96.7%,3.3%,96.7%,78.1%,7.6%,0.2%,6.6%,0.0%,4.2%,3.3%,1.4%,0.3%,0.7%,0.1%,"6,850,553",80.9%,9.4%,0.7%,7.5%,0.2%,4.8%,"4,992,533",47.6%,52.4%
MI,"9,965,265",49.2%,50.8%,5.7%,5.9%,6.3%,6.6%,7.1%,12.7%,11.7%,13.2%,7.2%,6.8%,9.8%,4.9%,2.1%,21.9%,80.8%,78.1%,74.0%,20.7%,16.7%,97.1%,2.9%,97.1%,78.4%,13.8%,0.5%,3.1%,0.0%,1.2%,2.9%,1.1%,0.7%,0.5%,0.1%,"9,965,265",81.0%,15.2%,1.5%,3.8%,0.1%,1.5%,"7,495,884",48.5%,51.5%
MN,"5,563,378",49.8%,50.2%,6.3%,6.5%,6.6%,6.4%,6.4%,13.6%,12.5%,12.7%,7.1%,6.3%,8.8%,4.5%,2.1%,23.3%,79.3%,76.7%,72.9%,19.1%,15.4%,97.0%,3.0%,97.0%,82.8%,6.4%,1.0%,4.8%,0.0%,1.9%,3.0%,1.0%,0.7%,0.7%,0.1%,"5,563,378",85.5%,7.7%,1.9%,5.7%,0.1%,2.2%,"4,069,677",49.3%,50.7%
MS,"2,984,418",48.5%,51.5%,6.3%,6.6%,6.9%,7.1%,7.0%,13.0%,12.4%,12.5%,6.6%,6.2%,9.2%,4.6%,1.7%,23.9%,78.9%,76.1%,71.6%,19.1%,15.4%,98.6%,1.4%,98.6%,58.4%,37.7%,0.5%,1.0%,0.0%,1.0%,1.4%,0.6%,0.2%,0.2%,0.1%,"2,984,418",59.6%,38.5%,0.8%,1.3%,0.1%,1.1%,"2,232,331",47.6%,52.4%
MO,"6,104,910",49.1%,50.9%,6.1%,6.2%,6.4%,6.5%,6.8%,13.3%,12.1%,12.6%,7.0%,6.5%,9.5%,5.0%,2.0%,22.6%,80.0%,77.4%,73.4%,20.3%,16.5%,97.4%,2.6%,97.4%,82.2%,11.5%,0.4%,2.0%,0.1%,1.2%,2.6%,1.0%,0.7%,0.4%,0.1%,"6,104,910",84.6%,12.8%,1.3%,2.5%,0.2%,1.4%,"4,603,770",48.4%,51.6%
MT,"1,050,649",50.3%,49.7%,5.8%,6.0%,6.3%,6.2%,6.9%,12.7%,11.8%,11.7%,7.0%,7.4%,10.9%,5.2%,2.0%,21.7%,80.6%,78.3%,74.3%,22.5%,18.2%,96.9%,3.1%,96.9%,88.5%,0.5%,6.4%,0.8%,0.1%,0.7%,3.1%,0.4%,1.7%,0.4%,0.1%,"1,050,649",91.4%,1.1%,8.3%,1.4%,0.3%,0.9%,"812,541",50.0%,50.0%
NE,"1,914,571",49.9%,50.1%,6.9%,6.9%,6.9%,6.8%,7.1%,13.3%,12.4%,11.7%,6.5%,6.2%,8.6%,4.5%,2.2%,24.8%,77.9%,75.2%,71.0%,19.0%,15.4%,97.4%,2.6%,97.4%,87.1%,4.8%,0.9%,2.4%,0.1%,2.1%,2.6%,0.9%,0.5%,0.5%,0.1%,"1,914,571",89.4%,6.0%,1.7%,3.1%,0.2%,2.4%,"1,366,078",49.2%,50.8%
NV,"2,972,382",50.2%,49.8%,6.2%,6.3%,6.6%,6.0%,6.1%,14.6%,13.3%,13.1%,6.4%,6.0%,9.5%,4.5%,1.4%,22.9%,79.6%,77.1%,73.6%,18.9%,15.4%,95.1%,4.9%,95.1%,65.6%,9.1%,1.3%,8.2%,0.7%,10.3%,4.9%,1.1%,0.6%,1.2%,0.1%,"2,972,382",69.6%,10.9%,2.2%,10.3%,1.4%,11.2%,"2,018,928",50.0%,50.0%
NH,"1,348,124",49.5%,50.5%,4.7%,5.2%,5.7%,6.5%,6.7%,12.3%,11.5%,14.5%,8.3%,7.3%,10.5%,4.8%,2.2%,19.3%,83.2%,80.7%,76.5%,21.7%,17.5%,97.9%,2.1%,97.9%,92.9%,1.6%,0.2%,2.7%,0.0%,0.6%,2.1%,0.6%,0.6%,0.6%,0.0%,"1,348,124",94.8%,2.3%,0.8%,3.4%,0.1%,0.7%,"1,055,456",49.1%,50.9%
NJ,"8,878,503",48.8%,51.2%,5.9%,6.0%,6.3%,6.3%,6.3%,12.8%,12.8%,14.2%,7.2%,6.4%,8.9%,4.7%,2.2%,22.1%,80.5%,77.9%,74.3%,19.5%,15.9%,97.3%,2.7%,97.3%,67.8%,13.5%,0.2%,9.5%,0.0%,6.3%,2.7%,0.9%,0.2%,0.6%,0.1%,"8,878,503",70.0%,14.8%,0.7%,10.4%,0.1%,7.0%,"6,132,177",47.9%,52.1%
NM,"2,092,454",49.5%,50.5%,6.0%,6.5%,6.9%,6.7%,6.9%,13.5%,11.9%,11.8%,6.6%,6.5%,10.0%,5.0%,1.9%,23.3%,79.4%,76.7%,72.6%,20.7%,16.9%,96.7%,3.3%,96.7%,74.8%,2.1%,9.6%,1.6%,0.1%,8.6%,3.3%,0.5%,0.8%,0.5%,0.1%,"2,092,454",77.5%,2.9%,10.8%,2.3%,0.2%,9.8%,"1,496,286",48.9%,51.1%
NY,"19,572,319",48.5%,51.5%,5.9%,5.6%,5.9%,6.2%,6.8%,14.6%,12.4%,13.4%,6.8%,6.3%,9.0%,4.8%,2.3%,21.0%,81.4%,79.0%,75.0%,19.7%,16.1%,96.9%,3.1%,96.9%,63.7%,15.7%,0.4%,8.4%,0.0%,8.7%,3.1%,0.9%,0.3%,0.6%,0.1%,"19,572,319",66.1%,17.3%,1.1%,9.4%,0.2%,9.5%,"13,723,456",47.6%,52.4%
NC,"10,264,876",48.7%,51.3%,5.9%,6.1%,6.5%,6.7%,6.8%,13.3%,12.6%,13.4%,6.7%,6.2%,9.5%,4.6%,1.7%,22.4%,80.2%,77.6%,73.4%,19.5%,15.9%,97.3%,2.7%,97.3%,68.7%,21.4%,1.2%,2.9%,0.1%,3.1%,2.7%,1.0%,0.4%,0.4%,0.2%,"10,264,876",70.9%,23.0%,2.0%,3.5%,0.2%,3.4%,"7,514,969",47.7%,52.3%
ND,"756,717",51.2%,48.8%,7.0%,6.7%,6.1%,6.3%,8.5%,15.3%,11.6%,11.0%,6.5%,6.1%,8.1%,4.4%,2.4%,23.2%,79.1%,76.8%,72.3%,18.4%,14.9%,97.4%,2.6%,97.4%,86.6%,2.9%,5.3%,1.5%,0.1%,1.1%,2.6%,0.5%,1.2%,0.5%,0.0%,"756,717",89.0%,3.5%,6.6%,2.0%,0.2%,1.3%,"564,482",51.1%,48.9%
OH,"11,655,397",49.0%,51.0%,6.0%,6.1%,6.4%,6.6%,6.6%,13.1%,11.9%,13.0%,7.1%,6.7%,9.6%,4.9%,2.2%,22.4%,80.3%,77.6%,73.6%,20.5%,16.7%,97.1%,2.9%,97.1%,81.3%,12.4%,0.2%,2.2%,0.0%,1.0%,2.9%,1.4%,0.4%,0.4%,0.1%,"11,655,397",83.9%,14.2%,0.9%,2.8%,0.1%,1.2%,"8,820,897",48.3%,51.7%
OK,"3,932,870",49.6%,50.4%,6.6%,6.8%,6.9%,6.7%,7.1%,13.8%,12.4%,11.9%,6.4%,6.0%,8.9%,4.7%,1.8%,24.3%,78.3%,75.7%,71.4%,18.9%,15.3%,92.3%,7.7%,92.3%,72.3%,7.3%,7.6%,2.2%,0.2%,2.7%,7.7%,1.0%,4.9%,0.4%,0.5%,"3,932,870",79.4%,9.1%,13.4%,2.9%,0.3%,3.1%,"2,837,291",48.8%,51.2%
OR,"4,129,803",49.6%,50.4%,5.6%,5.9%,6.0%,6.0%,6.4%,14.1%,13.3%,12.4%,6.4%,6.7%,10.4%,4.7%,2.0%,21.0%,81.4%,79.0%,75.3%,21.2%,17.2%,95.2%,4.8%,95.2%,84.3%,1.9%,1.2%,4.4%,0.4%,3.1%,4.8%,0.7%,1.7%,1.2%,0.0%,"4,129,803",88.8%,2.9%,3.1%,6.0%,0.8%,3.6%,"3,054,026",48.9%,51.1%
PA,"12,791,530",49.0%,51.0%,5.5%,5.7%,6.0%,6.4%,6.5%,13.1%,11.7%,13.2%,7.2%,6.9%,10.0%,5.3%,2.5%,20.8%,81.6%,79.2%,75.1%,21.8%,17.8%,97.5%,2.5%,97.5%,80.5%,11.2%,0.2%,3.4%,0.0%,2.2%,2.5%,1.1%,0.3%,0.4%,0.1%,"12,791,530",82.7%,12.7%,0.7%,4.0%,0.1%,2.5%,"9,759,723",48.3%,51.7%
RI,"1,057,231",48.6%,51.4%,5.2%,5.3%,5.6%,6.9%,7.3%,13.7%,11.7%,13.5%,7.2%,6.7%,9.5%,4.9%,2.5%,19.6%,82.9%,80.4%,75.3%,20.7%,16.8%,96.7%,3.3%,96.7%,80.5%,6.8%,0.5%,3.4%,0.1%,5.5%,3.3%,1.0%,0.4%,0.5%,0.2%,"1,057,231",83.0%,8.5%,1.3%,4.2%,0.2%,6.3%,"792,920",47.6%,52.4%
SC,"5,020,806",48.5%,51.5%,5.8%,6.1%,6.3%,6.6%,6.6%,13.1%,12.1%,12.9%,6.8%,6.5%,10.6%,4.9%,1.7%,22.0%,80.6%,78.0%,73.8%,21.0%,17.2%,97.7%,2.3%,97.7%,67.2%,26.8%,0.4%,1.6%,0.1%,1.8%,2.3%,1.0%,0.4%,0.3%,0.1%,"5,020,806",69.2%,28.1%,1.0%,2.1%,0.2%,2.0%,"3,785,353",47.6%,52.4%
SD,"870,638",50.4%,49.6%,6.9%,7.0%,6.8%,6.6%,6.9%,13.1%,11.7%,11.4%,6.8%,6.5%,9.3%,4.7%,2.3%,24.6%,78.0%,75.4%,71.3%,20.1%,16.3%,97.4%,2.6%,97.4%,84.3%,2.0%,8.8%,1.5%,0.1%,0.8%,2.6%,0.5%,1.4%,0.3%,0.1%,"870,638",86.7%,2.7%,10.4%,1.8%,0.2%,1.0%,"639,669",50.0%,50.0%
TN,"6,709,356",48.8%,51.2%,6.1%,6.1%,6.4%,6.4%,6.7%,13.6%,12.5%,13.2%,6.7%,6.3%,9.6%,4.7%,1.7%,22.4%,80.1%,77.6%,73.7%,19.7%,16.0%,97.8%,2.2%,97.8%,77.6%,16.8%,0.3%,1.8%,0.1%,1.4%,2.2%,0.9%,0.5%,0.3%,0.1%,"6,709,356",79.6%,17.9%,0.9%,2.2%,0.1%,1.6%,"5,019,113",47.9%,52.1%
TX,"28,260,856",49.7%,50.3%,7.1%,7.2%,7.4%,7.1%,7.1%,14.7%,13.5%,12.5%,5.9%,5.3%,7.4%,3.6%,1.3%,26.0%,76.9%,74.0%,69.7%,15.3%,12.3%,97.3%,2.7%,97.3%,74.0%,12.1%,0.5%,4.8%,0.1%,5.8%,2.7%,0.7%,0.5%,0.5%,0.1%,"28,260,856",76.3%,13.2%,1.2%,5.5%,0.2%,6.4%,"18,181,328",48.9%,51.1%
UT,"3,096,848",50.3%,49.7%,8.1%,8.5%,8.4%,7.9%,8.3%,14.7%,13.6%,10.2%,4.8%,4.7%,6.5%,3.2%,1.2%,29.8%,73.4%,70.2%,65.7%,13.5%,10.8%,97.0%,3.0%,97.0%,86.4%,1.2%,1.1%,2.3%,0.9%,5.0%,3.0%,0.4%,0.5%,0.8%,0.0%,"3,096,848",89.2%,1.8%,1.8%,3.5%,1.5%,5.6%,"2,029,032",49.9%,50.1%
VT,"624,313",49.3%,50.7%,4.7%,5.1%,5.4%,6.8%,7.4%,11.7%,11.2%,13.4%,7.7%,7.7%,11.3%,5.2%,2.3%,18.7%,83.6%,81.3%,76.2%,23.3%,18.8%,98.0%,2.0%,98.0%,94.2%,1.4%,0.3%,1.7%,0.1%,0.4%,2.0%,0.4%,0.8%,0.5%,0.0%,"624,313",96.1%,1.9%,1.3%,2.3%,0.1%,0.5%,"495,821",48.9%,51.1%
VA,"8,454,463",49.2%,50.8%,6.0%,6.1%,6.2%,6.5%,6.8%,13.9%,13.0%,13.5%,6.8%,6.1%,9.0%,4.4%,1.7%,22.1%,80.4%,77.9%,73.7%,18.6%,15.0%,96.2%,3.8%,96.2%,67.6%,19.2%,0.3%,6.4%,0.1%,2.6%,3.8%,1.3%,0.4%,1.1%,0.2%,"8,454,463",70.9%,21.1%,1.0%,7.9%,0.2%,3.1%,"6,140,257",48.6%,51.4%
WA,"7,404,107",50.0%,50.0%,6.1%,6.3%,6.1%,6.0%,6.5%,15.1%,13.2%,12.7%,6.6%,6.3%,9.2%,4.2%,1.7%,22.2%,80.2%,77.8%,74.1%,18.8%,15.1%,94.1%,5.9%,94.1%,75.4%,3.8%,1.3%,8.5%,0.7%,4.5%,5.9%,1.1%,1.2%,1.7%,0.1%,"7,404,107",80.6%,5.6%,3.0%,11.0%,1.3%,5.2%,"5,257,899",49.6%,50.4%
WV,"1,817,305",49.4%,50.6%,5.4%,5.6%,5.8%,6.0%,6.4%,11.8%,12.1%,13.1%,7.1%,7.4%,11.5%,5.7%,2.2%,20.3%,82.1%,79.7%,75.9%,23.8%,19.4%,98.2%,1.8%,98.2%,93.1%,3.7%,0.2%,0.8%,0.0%,0.4%,1.8%,0.9%,0.4%,0.2%,0.0%,"1,817,305",94.7%,4.7%,0.7%,1.1%,0.1%,0.6%,"1,434,259",49.0%,51.0%
WI,"5,790,716",49.7%,50.3%,5.8%,6.1%,6.4%,6.6%,6.9%,12.6%,12.1%,13.1%,7.3%,6.7%,9.5%,4.8%,2.2%,22.1%,80.5%,77.9%,73.8%,20.4%,16.5%,97.6%,2.4%,97.6%,85.4%,6.4%,0.9%,2.8%,0.0%,2.0%,2.4%,0.9%,0.5%,0.4%,0.1%,"5,790,716",87.6%,7.5%,1.6%,3.4%,0.1%,2.4%,"4,366,395",49.2%,50.8%
WY,"581,024",51.0%,49.0%,6.3%,6.7%,6.7%,6.3%,6.8%,13.7%,12.4%,11.6%,6.9%,6.8%,9.5%,4.5%,1.7%,23.5%,79.0%,76.5%,72.4%,19.7%,15.7%,97.3%,2.7%,97.3%,91.4%,1.0%,2.4%,0.9%,0.1%,1.5%,2.7%,0.5%,1.0%,0.5%,0.0%,"581,024",93.9%,1.7%,3.6%,1.5%,0.3%,1.9%,"433,356",50.8%,49.2%